userid,screenname,follower,friend
'969398693249126400,goth_lyrics,23,8
'2402022649,transitingnow,322,8
'2976541239,TheRiddlerBot,171,86
'4425828741,tiny_seas,3374,9
'817082622824169472,wordfindatron,7,2
'742447712105336832,NYPLEmoji,3968,15
'998140589420888064,CultureShip_bot,277,25
'1020970182582460418,art_museum_bot,55,1
'718832664300625921,WizardGenerator,177,0
'3304794002,VillanelleBot,106,1
'3748550069,omg_movies,15,1
'1047612356459724802,ishipitbot,13,7
'4331829388,LatostadoraBot,101,81
'1100190509073600513,WikiPlotBot,22,1
'920359296797429760,whinygenealogy,19,0
'837683262864637952,CozinhaBot,3274,9
'1044725409953136640,USDumpsterFire,8,24
'1038811495549886464,phl_abatements,436,1
'4886794823,jeorkov,36,3
'923966671827755008,GoodDogsOfNYC,56,2
'903770442573512704,bot_de_colores,9109,7
'963881800283107328,hypno__bot,31,2
'1010932644765454337,everyherd_bot,14,1
'926650951129292800,AppraisalBot,14,8
'849066759047000065,anywizard,257,4
'3187370910,ceasedesistbot,240,227
'1010309972918349824,Abolish_ICE_Now,1760,0
'1020733774580117504,No_hay_bot,1,2
'4825633672,_blackobs,115,0
'878768990167945218,ReyloConfused,25,0
'3103172267,xislikeay,26,3
'810665807642587140,Trumpgone,419,3
'890575495368232960,three_shape_bot,9,0
'1060317244566237184,among_stars_,141,24
'4350824652,pleading_bot,53,10
'878028362589118464,lovebotcraft,89,2
'832336939596578819,trump_chemistry,5,0
'3327104705,censusAmericans,11553,0
'832633493427326976,osspbot,121,264
'1014146545640300544,dailysicp,63,0
'831720146091716608,ObamaLivesOn,2060,8
'765071132093403137,fake2pmfics,80,5
'2339779142,Mgk8BallBot,11,0
'810128712356298752,Open_Brother,11,1
'861970097010860032,RebottaSugar,9,3
'3254373616,unicode_garden,3177,1
'999622983424598016,emoji_dna,13,2
'1965044298,favibot,338,1
'897420104933277696,EveryFeature,39,15
'3747663856,SatelliteEurope,43,0
'824087954863685632,wait4swear,30,4
'763099930487615488,nyt_diff,17861,0
'1005667025862049792,happyautomata,1127,0
'836240683811778560,cientistas_bot,595,9
'1012531485096591361,wikitimelines,161,0
'1069376294633250819,Cypher_B0t,4,10
'2536621626,intensificator,2189,3061
'881194824346607616,botmakingart,20,0
'913064403989417985,10printbot,7,2
'992461966378708992,Vox304,44,0
'813103403358265344,HalloSpacebot,26,1
'1039245931634479106,ghostbusters_84,24,0
'859938636271321088,Introspectorbot,4,2
'931192872283590656,GitWishes,57,1
'1028578680187052032,EmojiWeatherCA,1407,9
'3041192247,soamazingquote,574,0
'4040207472,himawari8bot,4869,3
'3020652335,KeplerBot,197,52
'970592745415938048,relativeprices,20,1
'932610451283890177,tiny_raindrops_,49,23
'908722710359949312,BodegaBot,1101,0
'841355108696915968,FoodieMenuBot,62,3
'729104184344227840,imgfkr,620,0
'4139038819,deshumani,48,0
'4871943514,thetinygallery,9283,1
'991088619774504960,mauritscorneIis,4,1
'892140208476606464,paintnumbersbot,134,7
'4891902315,AdvSettings_,33,0
'3165863036,catsnacks,77,1
'896063275921793024,ProcPlanets,898,17
'873758018550218752,BikePortOfLABot,11,45
'795588015427125248,HeroGraveyard,18,0
'3176656468,ATBrokenNews,435,0
'3302891944,ForTheRecordBot,35,7
'4733801655,UnlikelyPowers,256,1
'914959961414873090,FakeHQ,8,1
'838385078044672001,TinyProtests,155,23
'3769438815,bitsofpluto,15541,59
'868253384977121281,Gobbobot,226,3
'1113425507624919040,PlanMyDayBot,18,2
'737840777963917312,kiddieridesbk,31,0
'896423746617135105,soqbot,19,1
'717519847928803328,grow_slow,2174,0
'4190852728,whatshouldiknit,763,390
'826653423076470785,TrigonometryBot,446,1018
'4371859758,neuralgae,54,1
'875778680563400704,anthrobotica,21,3
'2607163646,tiny_star_field,134712,4876
'732736395891118083,doorsateight,87,2
'988281821774336002,_AARON_bot,108,0
'1002185173847498752,southpoleviews,85,2
'4208245037,subtitle_buoy,686,1
'966460140424712199,SlowDemoArchive,7,1
'852571359108624385,EveryVimeoVideo,18,0
'822425915548372993,uudetsanat,333,5
'829095470873997317,EmojiAquarium,20995,4
'888953536666411009,everyonesai,5447,3
'1036049576271081472,AdventureNames,92,1
'2590168531,NoEmojiForThis,49,1
'3299372399,Botgle,2650,3968
'925409091115147264,BackToWorkBot,11,0
'1051506601088208896,HConstellations,27,2
'770391941506891776,badphotoquality,11,0
'3922351113,bot_teleport,863,0
'863816790857715712,Rothko_Bot,805,18
'1011651387804061696,So_YouBotDetntn,10,0
'818580820797497345,tinysightings,13,4
'809735730888982531,SunsetGenerator,32,1
'833103863007870978,tinydotblot,18144,2
'3906144072,UC_Poesias_Bot,243,0
'1073980236453343234,AColourEveryDay,6,0
'2784894884,_sys_bot_,21,0
'1089606226047127552,FlyFAA_Deicing,32,11
'1013226126804701184,realfestivals,6,7
'862415838359441409,dragonhoards,70,0
'928314603376742400,FilmRevisionist,5,0
'705785693155495937,genderposibot,2150,1
'831782664038449152,JudithBotler,483,2
'992820451524075520,ShowdownBot,22,2
'3229361280,autodoyle,123,2
'3997848915,OminousZoom,1080,1
'895699896661024770,Rene_Damaul,112,0
'3818713218,pico8bot,2554,0
'837053322616008713,NtflxGenerator,1589,9
'2431021303,BiffySays,106,10
'718569185194868736,WordsofMcCarthy,2887,1
'3983629163,brandnewplanet,3890,2
'3301779988,minetweeter_,28,3
'715214387804372992,soundcloudsaid,792,4
'3091735275,CSPANFive,636,1
'886439353450364930,spacesh1ps,79,22
'2671843464,100yearsrising,158,0
'982660255489429504,CatYoncee,37,13
'2928957673,winter_scapes,646,11
'989135184,rightnow6music,1474,54
'3332092654,JPEGBot,716,1
'914635608382943233,OffbeatRPG,82,2
'879773234199224321,ScuffleBusiness,1258,1
'1089437453075824641,gf_generator,485,1
'923545627291803648,BokuWaKinoDesu,3,0
'708102355477069824,choochoobot,6571,7
'962139968662573056,goTakeThis,9,0
'768982448977747968,WesAndFilmBot,19,0
'946236238608130048,cool_cats,104,1
'821098759073497089,tinyknotwork,39,2
'1070411120253521922,WritersBlockBot,11,0
'3765991992,moonshotbot,3413,1
'993590061894529024,EmojiSnakeGame,2524,4
'2579497028,poem_exe,20988,29
'922707045119279104,cryptword,34,0
'979332714779291650,ArtConnoisseur_,78,2
'1040956752580239360,onthisdayrobot,45,2
'1049728241248874496,EffDeeEmmu,13,0
'953374918791573505,TinyColorPoems,20,47
'3347203689,RestroomGender,3291,8
'880076428603252737,twoemojicons,10,0
'3015093437,FinnishFlags,243,46
'904674430416244740,Whinge_Bot,26,8
'782264299238617088,emojiMountain,26,4
'761665579115810816,Cecinestpas_exe,20,0
'705800166867996672,GlitchLogos,3591,1
'725896100528295936,Vox_Plus,105,0
'2231129701,cloudplug,70,1
'745349445471047680,sunnyday4pm,26,0
'967883106270240770,wolf_clock,5,0
'839605704528920576,yayknuckletats,1,3
'4798922670,tweetgameoflife,147,1
'915170375901818880,randomlivetext,698,2
'957685460435861509,PKMNOldMan,115,128
'871431225029689344,NPS20180007Bot,3,1
'934575930277748736,astrove_bot,54,2
'1048235437779763203,sorryenglishbot,5,0
'2822800486,precure_screens,1788,4
'919407758134448128,JeffGoldblumbot,51,0
'961966497039077376,osalgoritmos,287,9
'3312196192,NiteAlps,668,26
'873758396452753409,BikeVeniceBot,8,4
'970509550909566976,galaxymarcopolo,571,1538
'878067171653562369,LovecraftMix,62,2
'1016821510751772672,doskvolscores,702,4
'3575042897,NYChickens,144,50
'1025809362386862082,PlanetarySurvey,649,0
'2433869952,trashcanlife,1577,0
'1067943125258256384,HSollewitt,17,10
'805673251837882369,selfcare_bot,8358,0
'1081270898659864581,IssOverhead,33,1
'3143230134,manpagedujour,1295,4337
'1053406647417217024,WyWilderness,147,6
'1031710018855419904,GhostOfBotPast,2,0
'732671482812370944,arniecommentary,511,19
'903621498375733248,lilly_print_bot,12,37
'4894033613,emoji_pizzas,224,0
'1044202538843672576,Selfdisembowel,11,0
'1094087132774305792,MillennialMurd1,4,0
'4590610654,tiny_cityscapes,6109,1
'922501717823954945,findyourreps,24,1
'3016208044,wdywam,611,0
'897126449307627521,techclothes,3,36
'714293558115586048,TSRandomised,22,1
'3227013130,HaikuMurakami,82,0
'881278603257937920,boggle_bot,3,0
'909624431273635843,eatroastbeef,36,3
'1023609035596197888,choosetoaccept,62,0
'849771126893019136,theclivebot,374,0
'705120073032269824,_numberstation,154,1
'804825537671593985,mythlibs,36,4
'775870976441589760,PrimitivePic,2325,0
'705215650986332162,spacetravelbot,9954,3
'798196450517651456,palette_gen,57,1
'808592198170243072,EmojiMoodBot,65,356
'730272558952538112,glossatory,30,1
'1011253362929651712,SpritesByBitsy,166,1
'849307163982016512,everyringfort,595,2
'978056573284175872,theairplane_bot,23,3
'954379005188296704,HouseHaunters,4,0
'949036672741793793,newspaperbot,189,8
'779880044420300800,__birds__,702,1
'967357425660694528,BotDuCul,44392,1
'709841608733237248,emocage,9,1
'1019024168984219649,WITCHES_WIZARDS,1036,8
'774694926135222272,ilovethisbot,152,1
'1008941459834204161,window_scene,11,0
'732691852319698945,botsmellslike,30,2
'1027173948285431808,AnarrestiName,4,12
'973647568398962688,deitygalaxy,132,136
'880411519221104640,alltheplanets,22,8
'876083796411650049,SkoolDetention,2,0
'862811732191965185,poetranslator,109,1
'3369547257,emoji__polls,469,2
'802579489058332672,homevspublic,2,0
'748917167006113792,symmetric_curve,332,3
'3300364029,legitvgcheats,30,1
'789905066769653761,Smoothiebot,34,114
'800121246750883842,dailyasteri,448,911
'903742553010339841,bubble_bott,6,0
'883314307492130817,tiny_kepler,4,1
'806442253585498112,GalaxyGenerator,38,1
'1079755490580668416,fake_find,17,1
'2486522684,tamagotchi_img,298,18
'966639350581792768,Moondogbot,2,0
'708794198099693568,5adaybot,12,0
'926657935794634752,DailyPianoScale,45,2
'908692479431421953,betteridge_bot,19,277
'992629592232837120,HomeMoviesBot,256,0
'3280203050,CutePetsBmore,183,2
'297806001,a_painting_bot,29,2
'888215592611794945,yourwindowbot,15,2
'1032895705625419776,BotSpill,0,0
'935932808815697922,gettophilosophy,57,2
'4181648555,palitra_color,50675,1
'902228795075284992,patchslitt,797,1
'1113577200664629249,alignment_bot,24,1
'1018985936988885000,p0em_bot,32,1
'896850130275532800,AuspiciousItems,34,8
'724677428669472769,PotterPapers,728,1
'822867823517200386,moon_rise_bot,396,0
'1095187623482544130,a_softer,120,0
'708848745367085056,MI6Archives,36,4
'731498500773543936,superclipartbot,33,0
'828309732574298113,trumptaxbot,16,0
'757804429357613056,darndesttruisms,382,1
'998703686086881283,LibraryH,1,0
'3730020912,haikuthegibson,74,4
'941913881437290497,infinite_zodiac,79,1
'708938088018481152,sunrisebot,194,1
'875041798091030528,corrupt_memory,16,2
'2697486960,glas_veil,207,1
'1002343960147300352,LionelIpsum,4,6
