userid,label,ff,inf,type1,type2,type3,times,,,,,,,,,,,
370098498,1,117.8,0,0.006079027,0.981762918,0.012158055,0,0,0,1,1,0,0,0,1,1,1,0
37384589,1,11.96551724,0,0.023400936,0.911076443,0.065522621,0,0,0,1,1,0,0,1,1,1,1,0
72110028,1,6.5625,0,0.017841213,0.970561998,0.011596789,0,0,0,1,0,1,0,1,1,1,1,0
82885728,1,15.2,0,0.00528169,0.985915493,0.008802817,0,0,0,1,1,0,0,1,1,1,1,0
110120789,1,27.36842105,0,0.007476636,0.985046729,0.007476636,0,0,0,0,1,1,0,1,1,1,0,0
134435538,1,27.01351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195913271,1,57.37037037,0,0.010638298,0.925531915,0.063829787,0,0,0,0,0,0,0,1,1,1,0,0
252647855,1,30.171875,0,0.003696858,0.974121996,0.022181146,0,0,0,1,1,0,1,1,1,1,1,0
290499654,1,55.77777778,0,0.004405286,0.972834068,0.022760646,0,0,0,1,1,1,1,1,1,1,0,0
303932719,1,40.79591837,0.018518519,0.04922516,0.947128532,0.003646308,0,0,1,1,0,1,1,1,1,0,0,0
349392750,1,10.86111111,0.054054054,0.055891239,0.922960725,0.021148036,0,0,0,1,0,1,1,1,1,1,0,0
475732319,1,41.125,0,0.000811688,0.99025974,0.008928571,0,0,0,1,0,0,1,1,1,1,0,0
616204178,1,35.66666667,0.125,0.930232558,0.069767442,0,0,0,1,1,1,1,1,0,0,1,0,1
616205123,1,30.04761905,0.040816327,0.98,0.02,0,0,0,0,1,0,1,0,1,1,1,0,0
616205288,1,26.2173913,0.03030303,0.970588235,0.029411765,0,0,0,1,0,1,1,1,1,1,1,0,0
616205957,1,39.53333333,0.052631579,0.95,0.05,0,1,0,0,1,1,1,1,1,1,1,0,0
616206143,1,22.17857143,0.078431373,0.980769231,0.019230769,0,1,0,1,0,1,0,1,0,0,1,1,0
616206149,1,19.39393939,0.015151515,0.985074627,0.014925373,0,0,0,0,1,1,0,1,0,0,0,1,1
616206200,1,27.95454545,0.023255814,0.977272727,0.022727273,0,1,0,0,1,1,1,0,0,0,1,0,0
616206215,1,27.125,0.029411765,0.971428571,0.028571429,0,1,0,1,1,1,1,1,0,0,1,1,1
616206269,1,30.66666667,0.036363636,0.982142857,0.017857143,0,1,0,1,1,1,1,1,1,0,0,0,0
616206275,1,26.75,0.015873016,0.984375,0.015625,0,0,0,0,1,1,0,0,1,0,0,0,0
616206311,1,37.14285714,0.092105263,0.962025316,0.037974684,0,0,0,1,0,1,1,0,1,0,1,1,0
616206386,1,36.64705882,0.051724138,0.966666667,0.033333333,0,0,0,1,1,1,1,1,0,0,1,1,0
616206452,1,40.625,0.03125,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0
616206464,1,25.23333333,0.051948052,0.950617284,0.049382716,0,0,0,1,1,1,0,0,0,0,1,0,1
616206467,1,23.11538462,0.06557377,0.983870968,0.016129032,0,0,0,1,1,1,1,1,0,1,0,1,0
616206563,1,27.04347826,0.043478261,0.985714286,0.014285714,0,0,1,0,1,0,0,1,1,0,1,0,0
616206614,1,36.8,0.058823529,0.980769231,0.019230769,0,0,0,1,1,1,0,1,0,0,1,0,0
616206626,1,24.07692308,0.044776119,0.971014493,0.028985507,0,0,0,1,0,1,1,1,0,0,0,0,0
616206631,1,29.61904762,0.037037037,0.947368421,0.052631579,0,0,0,0,1,0,1,1,0,1,1,1,0
616206656,1,49.15384615,0.159090909,0.977777778,0.022222222,0,1,0,1,1,1,1,1,0,0,1,0,0
616206664,1,37.17647059,0.107142857,0.98245614,0.01754386,0,0,0,1,1,1,1,1,1,0,1,1,0
616206769,1,20.8,0.076923077,0.984848485,0.015151515,0,0,0,0,1,1,1,1,1,0,0,0,0
616207079,1,34.35,0.036363636,0.982142857,0.017857143,0,1,0,1,0,1,0,1,1,1,1,0,0
616207376,1,24.8,0.120689655,0.983050847,0.016949153,0,1,0,0,0,1,1,1,0,1,0,1,0
616207430,1,25.16666667,0.035087719,0.982758621,0.017241379,0,0,1,0,0,1,0,0,1,1,0,1,0
616208212,1,21.53571429,0.054545455,0.964912281,0.035087719,0,1,0,1,0,1,0,0,1,0,1,0,1
616208980,1,27.95454545,0.113207547,0.963636364,0.036363636,0,0,0,0,1,1,0,0,1,0,0,0,1
616209703,1,35.29411765,0.068965517,0.983050847,0.016949153,0,1,1,0,1,1,0,1,1,0,0,1,1
616210015,1,31.61904762,0.064516129,0.984126984,0.015873016,0,1,0,0,1,1,1,1,1,0,0,0,0
616210814,1,23.96,0.032786885,0.983870968,0.016129032,0,0,1,1,0,1,0,0,0,0,1,0,1
616210933,1,37.52941176,0.113207547,0.981481481,0.018518519,0,0,0,1,1,0,1,1,1,1,0,1,0
616210993,1,38.05555556,0.148148148,0.981818182,0.018181818,0,0,0,0,1,1,0,1,0,1,1,1,0
616211005,1,27.72727273,0.026315789,0.904761905,0.095238095,0,0,0,1,0,0,0,1,0,1,1,1,0
616211029,1,25.27586207,0.051948052,0.987179487,0.012820513,0,0,0,1,0,1,0,0,1,0,1,1,1
616211149,1,37.11764706,0.048387097,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
616211257,1,36.38888889,0.155172414,0.983050847,0.016949153,0,0,1,1,0,1,0,1,0,0,0,0,0
616211458,1,33.63157895,0.075471698,0.981481481,0.018518519,0,0,1,0,1,1,0,1,1,0,1,1,0
616211479,1,23.32142857,0.096774194,0.984126984,0.015873016,0,1,0,0,1,1,0,0,0,1,0,0,0
616211512,1,25,0,0.979166667,0.020833333,0,1,0,0,1,1,1,0,1,0,1,0,0
616211704,1,31.0952381,0.123076923,0.955882353,0.044117647,0,0,0,0,1,1,0,1,0,1,1,0,0
616211779,1,26.52173913,0.1,0.983606557,0.016393443,0,0,0,0,1,1,1,1,0,0,0,0,0
616211792,1,33.66666667,0.037974684,0.975308642,0.024691358,0,1,0,0,1,1,1,1,1,0,1,0,1
616212091,1,25.56,0.079365079,0.984375,0.015625,0,0,0,1,1,0,1,1,1,1,0,0,0
616212148,1,22,0.081967213,0.968253968,0.031746032,0,0,0,1,1,1,1,1,1,0,1,0,0
616212203,1,29.2173913,0.032786885,0.983870968,0.016129032,0,1,0,0,1,1,1,1,1,0,0,0,0
616212268,1,22.46666667,0.092592593,0.947368421,0.052631579,0,0,0,1,1,1,1,1,1,0,1,0,0
616212298,1,30.04761905,0.081967213,0.968253968,0.031746032,0,0,0,0,1,0,1,0,1,0,1,0,0
616212355,1,34.42857143,0.123076923,0.984848485,0.015151515,0,1,0,0,1,1,1,0,1,0,1,0,0
616212358,1,33.94444444,0.05,0.983606557,0.016393443,0,0,0,1,1,0,1,1,0,0,0,1,0
616212964,1,26.24,0.042857143,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
616213459,1,44.07692308,0.06779661,0.983333333,0.016666667,0,0,0,1,0,1,1,1,0,0,1,1,0
616215005,1,23.92857143,0.060606061,0.942857143,0.057142857,0,0,1,0,1,1,0,1,1,0,0,1,0
616215302,1,29.0952381,0.046875,0.984615385,0.015384615,0,0,0,1,1,1,0,1,0,0,1,1,1
616215323,1,15.1627907,0.081967213,0.983870968,0.016129032,0,0,0,0,1,1,1,1,1,1,0,0,0
616215454,1,28.64285714,0.076923077,0.939759036,0.060240964,0,0,0,0,1,1,0,0,0,1,0,1,0
616215784,1,18.75,0.150943396,0.981481481,0.018518519,0,0,0,1,0,1,1,0,1,0,0,0,0
616216289,1,39.41935484,0.051282051,0.987341772,0.012658228,0,0,0,0,1,0,0,1,0,1,0,0,1
616217255,1,25.65217391,0.057692308,0.981132075,0.018867925,0,0,0,0,1,1,1,1,0,1,1,0,0
