userid,label,ff,inf,type1,type2,type3,times,,,,,,,,,,,
3610511,0,0.436117712,0.112349914,0.762839385,0.175662414,0.061498201,0,0,0,0,1,1,1,1,1,1,1,0
5656162,0,0.753451677,0.210154242,0.497442455,0.13842711,0.364130435,0,0,0,0,0,1,1,1,1,1,1,1
5682702,0,0.332075472,0.53125,0.344521849,0.297340089,0.358138062,0,0,0,0,0,0,0,0,0,1,1,1
6067292,0,0.971918877,0.288216561,0.60813428,0.054874112,0.336991607,0,0,0,0,1,1,1,1,1,1,1,0
6015122,0,1.031746032,0.034528552,0.748508946,0.117793241,0.133697813,0,0,0,1,1,1,1,1,1,1,1,0
6140012,0,1.294964029,0.297227036,0.360287231,0.128317203,0.511395567,0,0,0,0,1,1,1,1,0,1,1,1
6134312,0,1.310077519,0.142138365,0.672020287,0.153000845,0.174978867,0,0,0,1,1,1,1,1,0,0,0,0
6684602,0,1.666039511,2.159913793,0.748145759,0.078039342,0.173814898,1,0,0,0,0,0,0,0,0,0,0,1
7046912,0,0.041037272,6.019815059,0.243173787,0.238997751,0.517828461,0,0,0,1,1,1,1,1,1,1,1,0
7470952,0,0.936925099,1.066666667,0.310734463,0.247959824,0.441305712,0,0,0,0,1,1,1,1,1,1,1,1
8072492,0,0.458158996,0.128252788,0.78140886,0.011982571,0.206608569,0,0,0,1,1,1,1,1,1,0,1,0
8291932,0,0.846872753,0.138408304,0.924208507,0.00479693,0.070994563,0,0,0,1,1,1,1,0,0,0,0,1
8858022,0,1.076190476,0.073719483,0.673219465,0.262004512,0.064776023,0,0,0,0,1,1,1,1,0,0,0,0
8927532,0,2.081632653,0.015676568,0.8434238,0.009046625,0.147529576,0,0,0,0,0,1,1,0,0,1,1,1
8933252,0,6.65862069,0.506550218,0.266899767,0.231351981,0.501748252,0,0,0,0,1,1,1,1,1,1,1,1
9351052,0,0.840425532,0.125925926,0.3375,0.475,0.1875,0,0,0,0,1,1,1,1,1,0,1,0
9564632,0,0.409719126,1.33029382,0.321917808,0.202544031,0.47553816,0,0,0,1,1,1,1,1,1,1,1,0
9939012,0,1.292753623,0.118437631,0.756834075,0.151303242,0.091862683,1,0,0,0,0,1,1,1,1,1,1,1
9993142,0,1.130434783,0.835643564,0.34996535,0.353776854,0.296257796,0,0,0,0,1,1,1,1,1,1,1,1
10492262,0,2.219512195,0.432569975,0.51038961,0.235064935,0.254545455,0,0,0,0,1,1,0,0,0,1,1,1
11176152,0,2.88372093,0.087533156,0.262534819,0.495125348,0.242339833,0,0,0,0,0,0,1,0,0,1,1,1
13260592,0,0.34,0.320029028,0.440255591,0.384025559,0.17571885,0,0,0,0,1,0,0,0,0,1,1,0
14057516,0,2.765957447,0.343251089,0.446388079,0.38483965,0.168772271,0,0,0,1,1,0,0,0,1,1,1,1
14112759,0,3.127659574,3.087719298,0.363057325,0.560509554,0.076433121,0,0,0,0,0,0,0,0,1,1,1,0
14492555,0,1.913793103,0.111888112,0.491408935,0.127147766,0.381443299,0,0,0,1,1,1,1,1,1,1,0,0
