userid,label,friends/follower,inf,type1,type2,type3,times,,,,,,,,,,,
80479674,1,12.8,0.115384615,0.896551724,0,0.103448276,0,1,1,0,0,0,0,1,0,0,0,1
82487179,1,4.148325359,0.149359886,0.490579204,0.348918353,0.160502442,0,1,1,0,0,0,0,1,1,1,1,1
105830531,1,16.05,0.266666667,0.75,0.125,0.125,0,0,0,0,0,1,1,1,1,1,1,0
114488344,1,6.25,0.016393443,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
123222267,1,8.557377049,0.0625,0.423625255,0.381873727,0.194501018,0,0,0,0,0,1,0,0,0,1,1,1
144602443,1,7.577464789,0.057971014,0.44516129,0.038709677,0.516129032,1,1,0,0,0,0,1,1,1,1,1,1
212958140,1,20.17647059,0,0.431818182,0.386363636,0.181818182,1,0,0,0,0,0,0,1,0,1,0,1
278082770,1,19.2,0,0.436619718,0.154929577,0.408450704,1,1,0,0,0,0,0,1,1,0,0,0
367651000,1,123,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
370098498,1,117.8,0,0.006079027,0.981762918,0.012158055,0,0,0,1,1,0,0,0,1,1,1,0
599789901,1,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10935572,1,8.13372093,0.083989501,0.685251799,0.010791367,0.303956835,0,0,0,0,0,0,1,1,1,1,1,1
16119337,1,56.5,0.026229508,0.85915493,0.14084507,0,1,1,1,0,0,1,0,0,0,0,0,0
16753788,1,5.739130435,0.043478261,0.766666667,0.1,0.133333333,0,1,1,0,0,0,0,0,1,1,1,1
17640121,1,20.11111111,0,0.2,0.4,0.4,1,1,1,0,0,0,0,1,1,1,0,1
17656600,1,1.433219178,1.875,0.522875817,0.10130719,0.375816993,1,1,0,1,0,0,0,0,0,1,1,1
19230427,1,33.35714286,0.090909091,0.229166667,0.020833333,0.75,0,0,0,0,0,0,0,1,1,1,1,1
19951698,1,14.09375,0.101265823,0.409326425,0.580310881,0.010362694,0,0,0,1,0,0,0,1,0,1,0,0
20726266,1,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20731719,1,53.15789474,1.260465116,0.493119266,0.506880734,0,1,0,0,1,1,1,0,0,1,0,1,0
21196037,1,3.702290076,0,0.923076923,0.012820513,0.064102564,0,0,1,1,1,1,0,1,1,0,0,0
21365952,1,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21375100,1,4.411764706,372.5762712,0.270642202,0.596330275,0.133027523,1,1,0,0,0,0,0,0,1,0,0,1
21706899,1,91.66666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21972434,1,51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25836383,1,2.348540146,0.054245283,0.660436137,0.19470405,0.144859813,1,1,0,0,0,0,1,1,1,0,0,0
26778002,1,4.06693712,0.031884058,0.686794957,0.168546782,0.144658261,1,0,0,0,0,0,1,1,1,1,1,1
27662686,1,19.93103448,0.157894737,0.351851852,0,0.648148148,0,1,0,0,0,0,0,0,1,1,0,1
28222509,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28265406,1,50.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28843786,1,12.36956522,0,0.571428571,0.142857143,0.285714286,1,0,0,1,0,0,0,0,0,1,1,0
