userid,screenname,follower,friend
'86166567,greenhomunculus,42,240
'108704199,seizastar,16,0
'2165940152,chechelala9876,7,0
'196846880,MischaBruce,99,500
'884237364,cucum87,59,419
'2424529777,Bbennana,15,183
'1650916326,alfredoaleman7,56,0
'120360548,luv_unguviolet,5,1
'870795846962434049,vdokii,48,337
'313783257,gilja90,15,75
'132787155,FlyingJenny7,176,0
'741731184141471746,hedingjian1,14,136
'1077404096,anwar_lala,21,21
'2154795135,YTBRsBGS,13,0
'1394465665,Mohammed903,11,94
'2657551658,doxik159,5,0
'83124019,adyputraID,277,0
'4257661033,wwb035,15,0
'1868979648,2Leuts,9,0
'901274646,MontyKing7,35,0
'1089449269,DittrichLisa,14,0
'1523047634,chtlsy,12,4
'1485683815,HillDrewdog,18,0
'4719055812,yenshun1128,22,0
'3385941855,CHENSIQIANCici,39,222
'2310396946,CoolHunterMadrd,10,0
'826513404,warriorXlovatic,28,163
'1262255762,cantu0511,56,22
'2794776457,KiraOfficial32,37,0
'359091987,Jsrboys,7,0
'213749207,feltrichgirl,6,0
'299311718,JacobYett1,40,0
'382453679,WillPereiiraa,86,650
'1519283341,Efisnote,6,31
'1211049002,TamaraMilanoFan,11,0
'2978282051,MBriizylaiine,16,5
'449919396,IsaacMat_J,125,543
'732060097,louis7007,7,0
'247550218,bicagab,46,422
'85254758,surajraje,18,101
'719912820,RaisulAmin,24,0
'1013988703,LightIti,16,0
'3156515633,JohnAkinyomi,25,0
'321427922,FireBlackangel,17,0
'2852007048,HKGamer_TH,11,74
'2479269926,1689612908,18,113
'552485223,Jailynn_xo,80,0
'56174538,kellyon4,25,0
'378013766,playfunsu,0,0
'21873877,ytak87,22,0
'898029858,JeffersLexi,22,0
'444780355,CarlosRquez,29,0
'460954770,ferranyo,111,1110
'370002366,lovepsychicusa,99,0
'271433018,MyNewblogs,26,23
'2185201953,davide_paulkemp,7,87
'427664168,KillerFreak29,8,0
'2761132712,474339716,18,0
'751499508152987649,Show17896837,6,75
'260722903,nanynha94,46,0
'2541997260,COUVRAT5,19,125
'2985893679,wtf11123,34,0
'16512839,emilie_pigeon,69,302
'120237757,KarlDessenne,82,0
'952068239248515072,Malanbalam,57,249
'1383027355,erwin_moperez,54,273
'764490390,Nobita_goon,5,20
'480758236,DesnoulezS,24,214
'3778076189,icey_yc,19,0
'355923529,jojucama730611,6,0
'2171027199,PScieghi,38,0
'3293212965,caroncheug,11,0
'3254640069,kaanclk41,77,508
'920566417,Michael82955344,41,0
'186718185,blackdooli,88,502
'722221579,reem_sabra,17,645
'850326470,carlosaudiodesi,58,452
'1094956993,CIROGEREMIA,25,187
'522430285,davi_oakley12,121,1061
'2535131818,ggthyfv,57,491
'97820639,heartnoke,20,0
'4778395680,YIP_SAI_WANG,24,216
'15593714,JugGu,51,121
'4187578512,Ainsleyhks,77,469
'623807265,Beetictoc_SJ,64,0
'4179269113,xiejinkun,17,0
'18385972,tanchailiang,26,0
'4270569432,Cyj221Sai,7,0
'2508419377,swelahmedlaskar,13,0
'137460250,Baluboy33,6,0
'460427792,boissy0,48,0
'512345455,_albon,65,458
'2508576114,cdd0712,25,0
'574131134,TheNaTaylor,65,0
'3186201443,juraviza,10,0
'927240344,aslamqureshi786,19,0
'363603481,Beliebala,50,0
'178990882,DMackPTN,200,978
'2954685575,dimidu33,18,0
'737388193302126592,PascalePenloup,24,240
'927345942,AnnaHattingh,11,0
'155100300,MichuSmith,151,988
'500281660,apriltaylor59,28,231
'2169560508,VirginiaLauHK,25,0
'489182976,collorshift,5,62
'31210265,rachalness,55,361
'2772671486,suntorydong,10,163
'153593248,williansfc21,26,0
'3035432048,fanxinyu6,19,163
'435222124,kjh67890,14,0
'1634774851,TNitchoho,38,99
'346842507,nathy349,47,418
'1639574736,TAO_Yuki_OvO,13,108
'132954984,DorkyMcDorkDork,8,1
'217719030,kkatica9,21,0
'803703414634987520,motwakil15,6,0
'872238860,Wang271835839,3,0
'1683398065,swarna9d,18,87
'2414843594,BaekMo56,18,0
'453128302,samsamlee731,39,0
'2983989415,MadushanMel,13,136
'423685234,sandranoguera3,64,0
'2539711208,Remi64376566,15,0
'736876248,Beyza6201,15,54
'2186515430,windaszsz,26,6
'725771784,alhasheme1980,76,0
'745189310,MahoraSpiring,29,156
'2851767848,KnightStar_,19,0
'865995319,Eniko48358816,39,0
'963152089206714368,Violeta93622862,3,0
'1151570700,mandyka2,8,4
'777971621575454720,jame100000000,65,930
'3001003638,hspine68,4,45
'914511995596152832,BCompactBand,496,472
'1386686779,hannypwt,28,0
'999291096,wba2460,10,0
'623806740,OConnellAine,31,0
'97411494,antonygray120,5,0
'152787058,RAIKIRIUZUMAKI,46,0
'1738033550,christianpad100,18,135
'1573640964,yiisraaeel,20,181
'511109133,AnnetteBaroldi,14,137
'1714303686,NKyiting,10,130
'550599636,0217uk,22,236
'1464574374,meckdani,16,0
'101766518,Jiiero,10,7
'576788487,cs166388,13,96
'2744363596,SofunCheung,3,52
'73563563,Sims2TV,9,0
'227725410,astropaolo97,44,274
'771769207864385537,Shade1495,15,268
'914516231037755392,5b9FCrbsgWgv3TM,17,0
'529415635,BaharHany,42,25
'1875825276,1072960897,13,7
'63977746,cuixi,485,331
'1647978356,cyw86236368,15,0
'227962624,ericleung7788,7,1
'2988346553,adailton19751,59,0
'455691115,butterfly6365,101,0
'1943707346,hytekeyu1,6,0
'2439951696,Gzus313,27,11
'324446035,mustafayasien,35,295
'1681479078,aiden_suelto,15,114
'477460613,KYHD0509,22,111
'555955722,Mensagem_Viva,34,200
'1385545567,jwpettyGC,96,376
'2353646971,LukeCapstone,3,14
'1316312629,PatyferraryPaty,16,0
'1648366026,SheldonOsvaldLi,171,0
'3354471952,CoreySt81034997,16,41
'261681091,givegrace87,23,137
'2862822084,zafar30453106,14,0
'6954442,ku_may919,6,0
'246653270,digitalmonkees,57,394
'230642690,eclecticrager,30,5
'1239741481,Blank_Face_,18,76
'206466606,fefa_scva,15,0
'2779541383,mousaj10,57,335
'421902987,joungingu,35,173
'3307255458,liuyonghang,14,0
'633542531,bh7073,16,34
'2293383206,Beatrizjhezinha,8,68
'154092696,rainging,16,0
'2342923344,KaguyamuubiJack,44,479
'299615795,mycamomil,51,243
'259334879,ameejon,2,0
'2573188716,Shamil12315,16,0
'334100446,Neeeeeeein__,10,0
'1553926411,aymno1999CooL,217,0
'950578134,SabahFarahsabah,2,0
'590884475,salvo05347470,34,232
'193595614,happysadal,17,0
'1515931004,Nalran1,2,0
'750564284199997441,0z4qpKxO4RLpWH4,9,54
'334526566,Loretta0210,10,0
'206726215,mimimanucor,12,0
'2477158585,AngelikaPuntaro,17,0
'505510161,xuekexin,60,0
'1956617810,YasameenAzhar,42,381
'284577198,AlexChambers96,98,264
'500655424,EriknatiErik,10,72
'477582758,Norbertouno,12,71
'490562221,joaocarlosgatim,23,0
'2833068607,onekingwangqing,31,174
'305084702,22Charir,8,0
'773575629296046080,Antonios291987,13,96
'2727232047,pataki001,7,13
'732652031048060928,wrplinio,77,653
'616540596,SarahBa41218003,55,243
'278227674,alejandro9323,15,0
'421977187,JuannBell,8,150
'525810795,renan32818559,11,99
'418275704,suah914,51,375
'1271270095,LoverMonson,65,559
'327927595,Vito56Joo,24,111
'115171408,eljuri99,105,623
'3020552216,yangting16,15,0
'41633598,ImFadoua,19,6
'1630407145,Vikkancs2002,11,57
'618815850,sexy_sherika,31,0
'71109770,KaiqueGlom,13,0
'404895997,EthanCall,20,113
'2278968282,Konvorter,40,251
'495392668,renatodifazio,26,0
'1086181176,xice911,23,0
'409278055,Boop84Betty,14,96
'759711883,GuillaumeLione1,8,0
'3580180409,MeliloveWismer,20,0
'616439898,DansTonCuul,149,667
'211094422,slomfes,5,0
'1311615240,MilosLszln,10,0
'470948149,adamovskii,74,422
'38605853,corrie881,20,107
'478621955,leonardoguima33,61,0
'1310734927,729436838,9,3
'207909349,jacksdesti,2,0
'159527969,weijerr2,26,106
'369771027,MLainhart,29,0
'568276876,ArtemPopovich,102,708
'554895246,lansam1,22,129
'243999886,Zishen_com,27,141
